关键词,编码,品目名称
银行代理服务,C18010100,银行代理服务
其他银行服务,C18019900,其他银行服务
信用担保服务,C18020000,信用担保服务
证券服务,C18030000,证券服务
保险服务,C18040000,保险服务
商业保险服务,C18040100,商业保险服务
人寿保险服务,C18040101,人寿保险服务
财产保险服务,C18040102,财产保险服务
其他商业保险服务,C18040199,其他商业保险服务
再保险服务,C18040200,再保险服务
保险辅助服务,C18040300,保险辅助服务
其他保险服务,C18049900,其他保险服务
其他金融服务,C18990000,其他金融服务
专业技术服务,C19000000,专业技术服务
技术测试和分析服务,C19010000,技术测试和分析服务
地震服务,C19020000,地震服务
气象服务,C19030000,气象服务
测绘服务,C19040000,测绘服务
海洋服务,C19050000,海洋服务
地质勘测服务,C19060000,地质勘测服务
合同能源管理服务,C19070000,合同能源管理服务
其他专业技术服务,C19990000,其他专业技术服务
鉴证咨询服务,C20000000,鉴证咨询服务
认证服务,C20010000,认证服务
产品认证服务,C20010100,产品认证服务
服务认证服务,C20010200,服务认证服务
体系认证服务,C20010300,体系认证服务
其他认证服务,C20019900,其他认证服务
鉴证服务,C20020000,鉴证服务
会计鉴证服务,C20020100,会计鉴证服务
税务鉴证服务,C20020200,税务鉴证服务
法律鉴证服务,C20020300,法律鉴证服务
职业技能鉴证服务,C20020400,职业技能鉴证服务
工程造价鉴定服务,C20020500,工程造价鉴定服务
工程监理服务,C20020600,工程监理服务
资产评估服务,C20020700,资产评估服务
环境评估服务,C20020800,环境评估服务
房地产土地评估服务,C20020900,房地产土地评估服务
建筑图纸审核服务,C20021000,建筑图纸审核服务
医疗事故鉴定服务,C20021100,医疗事故鉴定服务
其他鉴证服务,C20029900,其他鉴证服务
咨询服务,C20030000,咨询服务
会计咨询服务,C20030100,会计咨询服务
税务咨询服务,C20030200,税务咨询服务
法律咨询服务,C20030300,法律咨询服务
社会与管理咨询服务,C20030400,社会与管理咨询服务
工程设计前咨询服务,C20030500,工程设计前咨询服务
工程政策咨询服务,C20030600,工程政策咨询服务
心理咨询服务,C20030700,心理咨询服务
预算绩效评价咨询服务,C20030800,预算绩效评价咨询服务
评审咨询服务,C20030900,评审咨询服务
评价咨询服务,C20031000,评价咨询服务
其他咨询服务,C20039900,其他咨询服务
房地产服务,C21000000,房地产服务
房屋销售服务,C21010000,房屋销售服务
房屋租赁服务,C21020000,房屋租赁服务
房地产中介服务,C21030000,房地产中介服务
物业管理服务,C21040000,物业管理服务
土地管理服务,C21050000,土地管理服务
其他房地产服务,C21990000,其他房地产服务
会议、展览、住宿和餐饮服务,C22000000,会议、展览、住宿和餐饮服务
会议服务,C22010000,会议服务
大型会议服务,C22010100,大型会议服务
一般会议服务,C22010200,一般会议服务
展览服务,C22020000,展览服务
博览会服务,C22020100,博览会服务
专业技术产品展览服务,C22020200,专业技术产品展览服务
生活消费品展览服务,C22020300,生活消费品展览服务
文化产品展览服务,C22020400,文化产品展览服务
其他展览服务,C22029900,其他展览服务
住宿服务,C22030000,住宿服务
餐饮服务,C22040000,餐饮服务
其他会议、展览、住宿和餐饮服务,C22990000,其他会议、展览、住宿和餐饮服务
商务服务,C23000000,商务服务
法律服务,C23010000,法律服务
法律诉讼服务,C23010100,法律诉讼服务
知识产权法律服务,C23010200,知识产权法律服务
法律文件代理服务,C23010300,法律文件代理服务
公证服务,C23010400,公证服务
仲裁服务,C23010500,仲裁服务
调解服务,C23010600,调解服务
其他法律服务,C23019900,其他法律服务
会计服务,C23020000,会计服务
财务报表编制服务,C23020100,财务报表编制服务
记账服务,C23020200,记账服务
其他会计服务,C23029900,其他会计服务
审计服务,C23030000,审计服务
税务服务,C23040000,税务服务
税务规划服务,C23040100,税务规划服务
税务编制审查服务,C23040200,税务编制审查服务
其他税务服务,C23049900,其他税务服务
科技服务,C23050000,科技服务
科技研发与推广服务,C23050100,科技研发与推广服务
科技成果转化与推广服务,C23050200,科技成果转化与推广服务
科技交流、普及与推广服务,C23050300,科技交流、普及与推广服务
区域科技发展服务,C23050400,区域科技发展服务
技术创新服务,C23050500,技术创新服务
其他科技服务,C23059900,其他科技服务
调查和民意测验服务,C23060000,调查和民意测验服务
普查服务,C23060100,普查服务
社会调查服务,C23060200,社会调查服务
服务满意度调查服务,C23060300,服务满意度调查服务
市场分析调查服务,C23060400,市场分析调查服务
其他调查和民意测验服务,C23069900,其他调查和民意测验服务
公共信息与宣传服务,C23070000,公共信息与宣传服务
公共信息服务,C23070100,公共信息服务
公共公益宣传服务,C23070200,公共公益宣传服务
其他公共信息与宣传服务,C23079900,其他公共信息与宣传服务
行业管理服务,C23080000,行业管理服务
行业规划服务,C23080100,行业规划服务
行业统计分析服务,C23080200,行业统计分析服务
行业规范服务,C23080300,行业规范服务
行业标准制修订服务,C23080400,行业标准制修订服务
行业投诉处理服务,C23080500,行业投诉处理服务
其他行业管理服务,C23089900,其他行业管理服务
印刷和出版服务,C23090000,印刷和出版服务
印刷服务,C23090100,印刷服务
单证印刷服务,C23090101,单证印刷服务
票据印刷服务,C23090102,票据印刷服务
其他印刷服务,C23090199,其他印刷服务
出版服务,C23090200,出版服务
邮政与速递服务,C23100000,邮政与速递服务
邮政服务,C23100100,邮政服务
速递服务,C23100200,速递服务
租赁服务（不带操作员）,C23110000,租赁服务（不带操作员）
计算机设备和软件租赁服务,C23110100,计算机设备和软件租赁服务
办公设备租赁服务,C23110200,办公设备租赁服务
车辆及其他运输机械租赁服务,C23110300,车辆及其他运输机械租赁服务
农业和林业机械设备租赁服务,C23110400,农业和林业机械设备租赁服务
医疗设备租赁服务,C23110500,医疗设备租赁服务
图书和音像制品租赁服务,C23110600,图书和音像制品租赁服务
家具、用具和装具租赁服务,C23110700,家具、用具和装具租赁服务
其他租赁服务,C23119900,其他租赁服务
维修和保养服务,C23120000,维修和保养服务
计算机设备维修和保养服务,C23120100,计算机设备维修和保养服务
办公设备维修和保养服务,C23120200,办公设备维修和保养服务
车辆维修和保养服务,C23120301,车辆维修和保养服务
车辆加油、添加燃料服务,C23120302,车辆加油、添加燃料服务
车辆充换电服务,C23120303,车辆充换电服务
其他车辆维修和保养服务,C23120399,其他车辆维修和保养服务
农业和林业机械设备维修和保养服务,C23120400,农业和林业机械设备维修和保养服务
医疗设备维修和保养服务,C23120500,医疗设备维修和保养服务
家具维修和保养服务,C23120600,家具维修和保养服务
空调维修和保养服务,C23120700,空调维修和保养服务
电梯维修和保养服务,C23120800,电梯维修和保养服务
货币处理专用设备维修和保养服务,C23120900,货币处理专用设备维修和保养服务
安保设备维修和保养服务,C23121000,安保设备维修和保养服务
消防设备维修和保养服务,C23121100,消防设备维修和保养服务
其他维修和保养服务,C23129900,其他维修和保养服务
批发服务,C23130000,批发服务
农畜产品批发服务,C23130100,农畜产品批发服务
食品和饮料批发服务,C23130200,食品和饮料批发服务
纺织、服装和日用品批发服务,C23130300,纺织、服装和日用品批发服务
文化、体育用品和器材批发服务,C23130400,文化、体育用品和器材批发服务
医药和医疗器材批发服务,C23130500,医药和医疗器材批发服务
矿产品、建材和化工产品批发服务,C23130600,矿产品、建材和化工产品批发服务
机械设备、五金交电和电子产品批发服务,C23130700,机械设备、五金交电和电子产品批发服务
其他批发服务,C23139900,其他批发服务
零售服务,C23140000,零售服务
综合零售服务,C23140100,综合零售服务
食品和饮料专门零售服务,C23140200,食品和饮料专门零售服务
纺织、服装和日用品专门零售服务,C23140300,纺织、服装和日用品专门零售服务
文化、体育用品和器材专门零售服务,C23140400,文化、体育用品和器材专门零售服务
医药和医疗器材专门零售服务,C23140500,医药和医疗器材专门零售服务
汽车、摩托车、燃料和零配件专门零售服务,C23140600,汽车、摩托车、燃料和零配件专门零售服务
家用电器和电子产品专门零售服务,C23140700,家用电器和电子产品专门零售服务
五金、家具和室内装修材料专门零售服务,C23140800,五金、家具和室内装修材料专门零售服务
无店铺和其他零售服务,C23149900,无店铺和其他零售服务
广告宣传服务,C23150000,广告宣传服务
建筑物清洁服务,C23160000,建筑物清洁服务
摄影服务,C23170000,摄影服务
包装服务,C23180000,包装服务
翻译服务,C23190000,翻译服务
档案管理服务,C23200000,档案管理服务
外事服务,C23210000,外事服务
信用服务,C23220000,信用服务
家政服务,C23230000,家政服务
殡葬服务,C23240000,殡葬服务
票务代理服务,C23250000,票务代理服务
采购代理服务,C23260000,采购代理服务
